#,word,score,origin,syllables,best_synonym,best_synonym_score,synonym_wins,synonym_improvement,pos,articulations,three_plus_syllables,stress_on_first,uses_m,uses_l,uses_good_consonants,no_weak_consonants,three_manners_of_articulation,short_vowels_only,front_vowels_first,low_vowels_first
7,is,30.0,Undefined,2,,-1.0,False,0.0,VBZ,SIBILANT_FRICATIVE,False,True,False,False,False,False,False,True,True,False
13,i,20.0,Old English,1,ane,50.0,True,30.0,NN,,False,False,False,False,False,True,False,False,False,True
16,not,30.0,Middle English,1,,-1.0,False,0.0,RB,NASAL|STOP,False,False,False,False,True,True,False,False,False,True
18,be,10.0,Middle English,1,follow,20.0,True,10.0,VB,STOP,False,False,False,False,False,False,False,False,True,False
19,are,30.0,Middle English,1,,-1.0,False,0.0,VBP,APPROXIMANT,False,False,False,False,True,True,False,False,False,True
25,have,30.0,Middle English,1,let,50.0,True,20.0,VB,NON_SIBILANT_FRICATIVE,False,False,False,False,False,False,False,True,True,True
26,new,20.0,Middle English,1,modern,40.0,True,20.0,JJ,NASAL,False,False,False,False,True,True,False,False,False,False
27,more,40.0,Middle English,1,,-1.0,False,0.0,RBR,NASAL|APPROXIMANT,False,False,True,False,True,True,False,True,False,False
29,was,10.0,Old English,1,,-1.0,False,0.0,VBD,SIBILANT_FRICATIVE|APPROXIMANT,False,False,False,False,False,False,False,False,False,True
31,will,30.0,Middle English,1,,-1.0,False,0.0,MD,LATERAL_APPROXIMANT|APPROXIMANT,False,False,False,True,False,False,False,True,True,False
32,home,10.0,Middle English,1,family,70.0,True,60.0,NN,NASAL,False,False,True,False,False,False,False,False,False,False
33,can,50.0,Middle English,1,,-1.0,False,0.0,MD,NASAL|STOP,False,False,False,False,True,True,False,True,True,True
37,page,10.0,Old French,1,foliate,60.0,True,50.0,NN,SIBILANT_AFFRICATE|STOP,False,False,False,False,False,False,False,False,True,False
39,has,30.0,Undefined,1,,-1.0,False,0.0,VBZ,SIBILANT_FRICATIVE,False,False,False,False,False,False,False,True,True,True
40,search,10.0,Middle English,1,lookup,40.0,True,30.0,NN,SIBILANT_FRICATIVE|SIBILANT_AFFRICATE,False,False,False,False,True,False,False,False,False,False
41,free,20.0,Middle English,1,gratuitous,40.0,True,20.0,JJ,NON_SIBILANT_FRICATIVE|APPROXIMANT,False,False,False,False,True,False,False,False,True,False
45,other,10.0,Middle English,2,former,40.0,True,30.0,JJ,FRICATIVE,False,True,False,False,False,False,False,False,False,False
46,do,20.0,Middle English,1,come,50.0,True,30.0,VB,STOP,False,False,False,False,True,True,False,False,False,False
48,information,40.0,Anglo-Norman,4,entropy,50.0,True,10.0,NN,SIBILANT_FRICATIVE|NON_SIBILANT_FRICATIVE|NASAL,True,False,True,False,True,False,True,False,False,False
49,time,40.0,Middle English,1,sentence,50.0,True,10.0,NN,NASAL|STOP,False,False,True,False,True,True,False,False,False,True
51,site,30.0,Undefined,1,place,40.0,True,10.0,NN,SIBILANT_FRICATIVE|STOP,False,False,False,False,True,True,False,False,False,True
53,up,20.0,Old English,1,upwardly,50.0,True,30.0,RB,STOP,False,False,False,False,False,False,False,True,False,True
54,may,30.0,Old English,1,,-1.0,False,0.0,MD,NASAL,False,False,True,False,False,True,False,False,True,False
55,what,30.0,Undefined,1,,-1.0,False,0.0,WP,STOP|APPROXIMANT,False,False,False,False,True,False,False,True,False,True
56,which,20.0,Old English,1,,-1.0,False,0.0,WDT,SIBILANT_AFFRICATE|APPROXIMANT,False,False,False,False,False,False,False,True,True,False
58,news,10.0,Undefined,1,intelligence,50.0,True,40.0,NN,SIBILANT_FRICATIVE|NASAL,False,False,False,False,True,False,False,False,False,False
