#,word,score,origin,syllables,best_synonym,best_synonym_score,synonym_wins,synonym_improvement,pos,articulations,three_plus_syllables,stress_on_first,uses_m,uses_l,uses_good_consonants,no_weak_consonants,three_manners_of_articulation,short_vowels_only,front_vowels_first,low_vowels_first
2557,wire,0,Old English,1,telegram,90,TRUE,90,NN,APPROXIMANT,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
78,view,0,Anglo-Norman,1,sentiment,80,TRUE,80,NN,NON_SIBILANT_FRICATIVE|APPROXIMANT,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
267,show,0,Middle English,1,demonstrate,70,TRUE,70,NN,SIBILANT_FRICATIVE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
959,fire,0,Middle English,1,elicit,70,TRUE,70,NN,NON_SIBILANT_FRICATIVE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1332,earth,0,Middle English,1,land,70,TRUE,70,NN,NON_SIBILANT_FRICATIVE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1401,vote,10,Latin,1,balloting,80,TRUE,70,NN,NON_SIBILANT_FRICATIVE|STOP,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2089,factor,20,Latin,2,element,90,TRUE,70,NN,NON_SIBILANT_FRICATIVE|STOP,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5092,hurt,10,Middle English,1,detriment,80,TRUE,70,NN,STOP,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
6200,gauge,10,Middle English,1,estimate,80,TRUE,70,NN,SIBILANT_AFFRICATE|STOP,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
6482,pole,10,Middle English,1,terminal,80,TRUE,70,NN,LATERAL_APPROXIMANT|STOP,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9746,pose,0,Old English,1,model,70,TRUE,70,NN,SIBILANT_FRICATIVE|STOP,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9810,urge,0,Latin,1,recommend,70,TRUE,70,NN,SIBILANT_AFFRICATE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
32,home,10,Middle English,1,family,70,TRUE,60,NN,NASAL,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
68,contact,40,Latin,2,middleman,100,TRUE,60,NN,NASAL|STOP,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
154,good,20,Middle English,1,estimable,80,TRUE,60,JJ,STOP,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
363,level,30,Middle English,2,dismantle,90,TRUE,60,NN,NON_SIBILANT_FRICATIVE|LATERAL_APPROXIMANT,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
668,baby,20,Middle English,2,mollycoddle,80,TRUE,60,NN,STOP,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
862,player,20,Middle English,2,instrumentalist,80,TRUE,60,NN,LATERAL_APPROXIMANT|STOP,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
957,figure,20,Middle English,2,estimate,80,TRUE,60,NN,NON_SIBILANT_FRICATIVE|APPROXIMANT|STOP,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
