name,author,length,score
poems_of_emily_dickinson,dickison,92762,33.724362841200424
silmarillion,tolkien,154121,31.714535646595714
the_hobbit,tolkien,97319,32.071502449115
gettysburg_address,lincoln,269,31.3125
frankenstein_or_the_modern_prometheus,shelley,9309,33.80952380952381
pride_and_prejudice,austen,15249,27.249283667621775
a_christmas_carol_in_prose_being_a_ghost_story_of_christmas,dickens,79790,31.856549003029663
a_modest_proposal,swift,83553,33.89270757465404
the_strange_case_of_dr_jekyll_and_mr_hyde,stevenson,84708,32.81259922524925
moby_dick_or_the_whale,melville,25230,35.60659934575452
a_tale_of_two_cities,dickens,91213,35.3415673414888
the_works_of_edgar_allan_poe_the_raven_edition,poe,162830,31.936364804660727
et_dukkehjem_english,ibsen,74212,31.459866260815378
beowulf_an_anglo-saxon_epic_poem,unknown,37248,33.69628785250533
heart_of_darkness,conrad,56247,35.06674442716433
alice's_adventures_in_wonderland,carroll,10141,35.45132743362832
the_gift_of_the_magi,henry,15745,31.710752318790792
dracula,stoker,63850,34.02359452374017
the_legend_of_sleepy_hollow,irving,46934,34.69166737450098
adventures_of_huckleberry_finn,twain,12181,34.53960830166618
walden_and_on_the_duty_of_civil_disobedience,thoreau,9184,34.71230739223718
the_adventures_of_sherlock_holmes,doyle,90197,33.2672
the_importance_of_being_earnest_a_trivial_comedy_for_serious_people,wilde,27185,32.16567731608084
the_scarlet_letter,hawthorne,153389,31.31086498768722
the_yellow_wallpaper,gilman,43462,34.73779603673272
metamorphosis,kafka,130510,32.30361241726651
jane_eyre_an_autobiography,brontë,35262,32.024931438544
the_picture_of_dorian_gray,wilde,39432,32.26740770864399
ulysses,joyce,60695,33.46073102694619
the_awakening_and_selected_short_stories,chopin,47982,31.388143353331227
the_souls_of_black_folk,bois,99655,34.4861978246358
anthem,rand,124295,33.04841494578355
the_adventures_of_tom_sawyer,twain,86277,34.32187611137842
narrative_of_the_life_of_frederick_douglass_an_american_slave,douglass,107990,36.69274331143137
great_expectations,dickens,30457,32.77473196881092
ion,plato,24802,32.9051593323217
il_principe_english,machiavelli,163389,33.498776341871256
peter_pan,barrie,85187,32.772106274145855
uncle_tom's_cabin,stowe,113184,34.08383233532934
the_war_of_the_worlds,wells,160453,33.640291562564464
tractatus_logico-philosophicus,wittgenstein,17390,31.49485688729875
the_hound_of_the_baskervilles,doyle,29617,33.179532682638275
treasure_island,stevenson,68260,32.41456403704887
prestuplenie_i_nakazanie_english,dostoyevsky,56555,32.046173210941575
index_of_project_gutenberg_works_on_black_history,various,719,29.710526315789473
the_history_of_modern_painting,muther,547,36.65706051873199
emma,austen,166060,32.29165265352795
the_republic,plato,28266,33.90225228099279
dubliners,joyce,82885,33.193188614854165
pygmalion,shaw,40589,31.155073388640716
leviathan,hobbes,5947,37.35687022900763
the_brothers_karamazov,dostoyevsky,231524,33.02677618681292
wuthering_heights,brontë,88402,31.22556297946053
